,Users,Comments
1,sarah_walter,Another beautiful day! But stuck inside  how's the studying going @TiaMaria8 ?
2,Alphamoongirl,@QueenM81 Now I feel bad I was a part of it asking for US tour coverage  UGH! I was going to do a video of our adventures.Next time..
3,tinydropofocean,Dealing with a crabby Ashton 
4,katherinemarsh,BEETHOVEN! HOMGGGG i love this film...... it sucks that its about to finish 
5,theAV8TR,No flying for scott and richard  Damn mother nature
6,brittmcintyre,Betsey is up sick! Fever and throwing up!  poor baby girl!!!
7,hatchjt,My iPhone is completely dead. Nothing will bring it back. 
8,thenoodleator,@bikefitness That sucks. Hope you're ok. 
9,RhiaSophiax,depressing over the rain 
10,kirapocket,giving my cat a pill = hardest thing ever.  i now have fresh claw marks on my hand 
11,VicToryUhh,Just wants exams to be over so I can chill with my Poopsie  &lt;3
12,spikeyblog,got a headache :-\ 
13,jiajiajiaxoxo,@Meegle82 she's overrated. 
14,Rogster,"@tessmorris what's up, people being horrid? "
15,TashaOxx,"Bin out shoppin with my nan,, Mum &amp;+ Brother (: Want him to txt me but he aint  i love him more than he realises (: ..Ox"
16,niklotus,@asthmaticweezer  Not your pwetty face..... 
17,marielmilo,i can't decide on a movie. 
18,kathaycock,Last night was funnny...soo glad i am not tooo hungover...but gutted that Nadal is not playing at Queens 
19,bellingclassic,It's raining today so much for the good weather  not doing much just on net
20,CedricChase,Left my wallet at home and I'm sooo hungie 
21,starcastic,misses chad.  http://plurk.com/p/yw4eo
22,FreeshKidd,@MiCHSTERR ; I LOVE THE JONAS BROTHERS ! except KEVIN he's retarted !  i feel bad 4 his brotherssss
23,SiressArchAngel,@panacea81 It says these movies are private...so I can't watch 
24,stinababyyy,Omggg driving on the freeway breaks my heart..dead animals 
25,esskeimusic,The morning after &quot;Mmmm mmm mmm&quot; she said as she rolled over caressed my chest &amp; patted my friend Chilli Willie 2 bad it was only a dream 
26,joedunn721,I'm bummed out I'm missing out on MoCCA.  Wish I could go and walk around for a while at least. 
27,MommyRuby,I am so worried that when my car goes to the shop they are gonna total it.  I cannot afford a new one!
28,Farrmark,Not sure whether I can scrape together enough cash to get Star Ocean  #StarOcean
29,ernibob,aww what a brill film but so sad!! 
30,xElphiex,Is leaving paris soon  and has had the BEST time ever .
31,Reahani,"I dreamed last night Roxette died and sure enough, when I awoke, she was gone.  I guess it was too much stress. Oh well... r.i.p. Roxette."
32,BW101,"I feel weird. And as sad as it is, I really miss the boards after just one day! It's gonna be a long week "
33,ono14991,this song should have been Mariah's fifth #1 
34,suqarp0p,its so freaking coooooooooold 
35,Tanman1067,trying to get motivated to clean my house today 
36,issie07,@heartbrken4evr yeah same! everyones leaving youtube  x
37,Stephaniestuff,must find hair salon too hungover to do own hair 
38,MnRicha,enjoyin my last day in VA 
39,wearetheoceans,@nikkatron I've NO idea where that is and my exam finishes at half 4  i'll come the week after or something cause i finish my examson 15th
40,ding_zheng,dont feel good could be H1N1 
41,nyquildotorg,"@MyCaricaturecom yeah, it looks like sipgate is only free for incoming calls.  I think.  Not terribly useful. Sorry to get hopes up "
42,ByteMaster,"About 1/2 way through replacing the rotors on my 2004 Nissan Titan, one of the seals on one of the calipers has a small cut in it "
43,Woermi,@Merlian he already has announced him/her...look at his profile  #aionbeta has gone for me now :/
44,ariharding,bummed out about Lewis Hamilton being knocked out  I know next year McLaren will do much better.
45,Drolgerg,Have let wife have the laptop; she's found it has games  No more more tweeting during the match sadly
46,ArisaOnline,Starting to get things situated for his trip back. How sad. These next 5/6 months won't go fast enough. Two weeks is too little time. 
47,cots35,@chriscornell rain isn't so bad - we got some summer SNOW today!! 
48,tonyibmuk,shopping @ tesco 
49,Melissica,"hopes her cousin has a great 18th birthday 'mash', wish i couldve come but im too ill "
50,midved,Gave myself a headache... High pitch whistles are NOT ear drum friendly 
51,JosieJigsaw,"ugh. i had two terrible dreams last night, one about me staying at turner another year.. &amp; second about a boy that really hurt me "
52,missriss518,I went last year and it was amazing...but work owns my life this summer  @jtimberlake Who's going to Bonnaroo next week?
53,sarahbethpo,I wanted to go so badly.    I fully intend to whine about this at least all day.
54,Natalie_Bergen,Interesting evening.. didn't exactly go as planned! BUMMED I missed out on Two Keys.    Beautiful day though! Hopin' to get LOTS more SUN!
55,Nichols23_2010,"Crazy times, w/ great people. But, it just didnt mix the way it should have "
56,sai_rhinoceros,I attended an English class for the first time in three weeks! My English speaking skill have gotten worse... 
57,peoplefight,"@stephanie_hall haha. really scary! cool! today didn't happen  woke up 7am, but fell asleep again, and slept to 3pm :o"
58,alotofnothing,"@sthrnfairytale yeah, now shipping's $7 and i can't use my 15% off coupon AND they're $15 dress sale is ONLY IN STORE. I'm not happy "
59,TynzBoomPow,"@muffinLAH YES  Tell meee. But like, you can't get preggies so why must use condom. :O"
60,Erykah_,"@_Janet_ No worries, it didn't! Gutted though, it won't be the same "
61,mpaguaga,"nose is stuffy can't breathe, making my lips and throat very dry  bad headache."
62,Kelsey_Jones,Stepmom is a chaty cathy. Wakes me up from my sleeping. 
63,Lisa_Veith,"nap, then work "
64,theswatchaholic,@CorvsQueen  I read your tweets too! *hugs*
65,gabnchowchow,im going to sleep now (my dog is snorting  like a small piggy ). going to teach him tomorrow how to come when called 
66,BeckyKingston,"@sordidclown nah, don't have the money just yet "
67,Lisamcg2,@shannonsgoat sorry I've not been about  stressing at the moment but will chat later ;-) how are you? x x
68,jwalanta,i jus had the saddest FML moment. ever. 
69,johnnywebSTAR,Oh what a night.. woo woo woo woo.. Oh what a night.. I cried myself to sleep!! It was very pathetic  http://myloc.me/2Ncs
70,BankyTheMachine,"Woke up and got ready to go to Disney this morning. Unfortunately, I was the only one who got out of bed. "
71,slimmy218,I.  HATE.  RUNNING!!!!!!!!!!!!!!!! &gt;  argh!!!!!!! 
72,kristinmathuny,In Iowa it's raining... Well I guess that's apropriate for the ocasion 
73,adelaidef,I hate waking up this early for school on saturdays! 
74,TessMorris,@Rogster I dont think they realise it though 
75,chelseaheyy,@oheves Wow  ... yeah not looking forward to it as much now 
76,economysizegeek,@mike_chavez pretty busy - sign for kolaches was lying 
77,KPhotographic,"Gotta shoot today, but it's cloudy! "
78,leanneclinnell,Still getting over the split of Katie and Peter   still so sad but whatever decisions they both make I wish them all the best and the kids
79,Katie2205,@LaurenConrad just watched the last hills episode with u over in england. so sad to see u go  thank u for all the drama!! x
80,chuck_debault,Hooters wings suck. I was craving chicken and was horribly let down. 
81,ohsht,i just endured the pain of a derma cleaning. 
82,invertedjesus,@amien00dz please mosh someone's face in my absence.  
83,jkneale,"@angrybonbon    it can't be definitive - the season is over, city can't lose any more games"
84,NijaDiva,OMG I totally forgot to get her something. 
85,Ariadne_KatyP,Maybe my last twit from today: I have to make homework: french  goodbye (: x
86,Mhaarc,I want to go home :| 
87,nikkikilroy,@lucashardy it doesnt look good on a pc  the layout that is!
88,ccolwin,@RicoDanielle It's so hard to call your hotline. Some people are already calling even if you didn't cue. 
89,Gabby_Sem,SINUS HEADACHE! ahhh! it kills! 
90,_Janet_,"@erykah_ No, it won't.    Wish she'd change her mind.  Apparently she wasn't to finish a doctorate (I think) or Egyptian studies"
91,shoepixie,At the market and...its chilly and no kids.  Ah the trials of being a facepainter... 
92,tombo23,"@d_archer lol none of them are on right now, I went to see new terminator film last nyt wi friends, cinema is ridicously expensive "
93,claracnth,It's normal cause she wants to celebrate her birthday with her besties. My heart now feels so sorry about what happened to her 
94,mord,Bah twitterific fails at geotagging 
95,sineadailill,@TheRealAmz wish i had sky sports  great keeping up on twitter though
96,stlconciergeguy,@aishas you're not following me  so can't DM. here's my number. 314-477-4948 I'm available today for about the next hour today.
97,bethasaurr,This is taking forever. And i keep getting weird error messages 
98,inf3ktion,"@fragments77: Urine tests, blood tests, blood-banking, microbio-related, slicing organs.. All of 'em! Don't tell me you're still at work? "
99,DWsRoseC,some creepy man with an eye patch keeps following me with several twitter accounts.  i blocked his ass but it's still weird. freak!
100,barrie,disc dog tweeps? JB is limping again from a bad landing yesterday   Can I teach her to land better or is it all my bad throwing??
101,SKEME_817,"@pLaTiNuM_LaTiNa Mannn I neva get to see you anymore aunte, "
102,flanger1975,@Nicnax666 doing well...stuffed up nose  damn cottonwoodtrees!
103,bellanicola,I'm driving through my old neighborhood  aww the memories
104,AnnieV21,@Rkenney6 boo  at least you didn't put your computer in there right? hope they get it to you soon! ooo maybe you'll get captain hook!
105,icequeen4,borin i feel like 2 mo0ro0w i have scl i dont feel like i started ma summer holidayz weird first time i feel like dat  miss scl already 
106,twit_twat_ash,@cassiduncan not gonna be able to come thursday  my mate cant cover my shift so wont have much time in nottingham to meet him :'( :'( :'(
107,janeylicious,WTF is a runway issue? boo at delayed flight 
108,kelliSCANDALOUS, so tonight's the night we all roll along.
109,FaeriBex,@groovybernie i hate when that happens. if it doesn't fix itself you may need to reregister your phone 
110,trevorosterholm,At work  even tho I need the money still rather be sleeping in. Being an adult sucks. also I am scared to lose the one thing I need be ...
111,AleisAwesome,Why are cherries so expensive? 
112,brandi_lynne,i never have time to tweet anymore ..  off to erie to shop &amp; then work 6-close!
113,alyandgracy,"leaving the outer banks   on the road for 9 hrs today, 14 tomorrow, back to work on monday"
114,Ollie06,missed it last night 
115,lizliz07,Work meeting 
116,Laura2910,"@banjoist123 yeah I'm well, just stuck home all day working  how are you feeling today? Any better?"
117,DeaAmilo,I feel sad today... but I don't really know why... 
118,louisejephcott,it's been raining all day. i seriously hate it when it rains all day; that means i can't go on my trampoline 
119,veropperez,"@Arhum no  i tweeted it like, a million time in both of my accounts...."
120,jerzicua,@phylicia2214 i dont think you did  
121,Diva_Diyanah,"Today, cuzin ifah,nisa,kamarun came. Too sad i can't play too much with them because i sick  - http://tweet.sg"
122,dailymomsense,Daniel looks like he got punched in both eyes.  Time to go see the dr.  
123,soany_g,"tonight @ gading, tomorrow @ spark, monday @ batam! huhuhuhhh... berpisah lagi "
124,patpreezy,@nptnmkiii ok I see it.....&quot;out of stock&quot; 
125,colossalblue,"I've been the victim of credit card fraud! Some evil little scrote has spent over Ã‚Â£2,000 on my card in a week! No card now for 2 weeks "
